sky130_fd_sc_hd__sdfrtn_1	CLK_N:I D:I RESET_B:I SCD:I SCE:I VGND:I VNB:I VPB:I VPWR:I Q:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI642	MOSFET	clkpos	CLK_N	VGND	VNB	nshort	1	0.65	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI636	MOSFET	clkneg	clkpos	VGND	VNB	nshort	1	0.65	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI42	MOSFET	db	clkneg	M0	VNB	nshort	1	0.36	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI656	MOSFET	net87	net153	net117	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI657	MOSFET	net117	RESET_B	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI33	MOSFET	net110	RESET_B	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI634	MOSFET	sceb	SCE	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI4	MOSFET	M0	clkpos	net98	VNB	nshort	1	0.36	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI34	MOSFET	net98	M1	net110	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI655	MOSFET	net153	clkneg	net93	VNB	nshort	1	0.36	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI653	MOSFET	Q	net87	VGND	VNB	nshort	1	0.65	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI654	MOSFET	net93	net87	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI647	MOSFET	M1	M0	VGND	VNB	nshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI649	MOSFET	M1	clkpos	net153	VNB	nshort	1	0.36	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI98	MOSFET	db	D	n0	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI103	MOSFET	n1	SCD	VGND	VNB	nshort	1	0.42	0.18	1	0.265	0.265	0.28	normal	0.525	3.1
MI120	MOSFET	db	SCE	n1	VNB	nshort	1	0.42	0.5	1	0.265	0.265	0.28	normal	0.525	3.1
MI104	MOSFET	n0	sceb	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI643	MOSFET	clkpos	CLK_N	VPWR	VPB	phighvt	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI635	MOSFET	clkneg	clkpos	VPWR	VPB	phighvt	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI43	MOSFET	db	clkpos	M0	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI662	MOSFET	net190	net87	VPWR	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI659	MOSFET	net87	RESET_B	VPWR	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI664	MOSFET	net153	clkpos	net190	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI658	MOSFET	net87	net153	VPWR	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI30	MOSFET	net169	M1	VPWR	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI31	MOSFET	M0	clkneg	net169	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI32	MOSFET	net169	RESET_B	VPWR	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI660	MOSFET	Q	net87	VPWR	VPB	phighvt	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI648	MOSFET	M1	M0	VPWR	VPB	phighvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI650	MOSFET	M1	clkneg	net153	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI633	MOSFET	sceb	SCE	VPWR	VPB	phighvt	1	0.54	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI101	MOSFET	db	sceb	p1	VPB	phighvt	1	0.54	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI107	MOSFET	p0	SCE	VPWR	VPB	phighvt	1	0.54	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI94	MOSFET	db	D	p0	VPB	phighvt	1	0.54	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI108	MOSFET	p1	SCD	VPWR	VPB	phighvt	1	0.54	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
